Symptom,Disease
대사성 산증,"대동맥궁 단절(Interrupted aortic arch), 악성 고열증(Malignant hyperthermia), 온전한 심실 중격을 가진 폐동맥 폐쇄(Pulmonary atresia with intact venticulr septum)"
보챔,"대동맥궁 단절(Interrupted aortic arch), 돌발성 발진(Exanthem subitum), 발육부전성 좌심 증후군(Hypoplastic left heart syndrome), 부비동염(Sinusitis), 시트룰닌혈증(Citrullinemia), 신경모세포종(Neuroblastoma), 영아 산통(Infantile Colic), 자가면역용혈질환(Autoimmune hemolytic disease)"
위장관의 허혈,대동맥궁 단절(Interrupted aortic arch)
복부경련,"대사성 산증(Metabolic Acidosis), 복막염(Peritonitis), 자궁경관무력증(Incompetent internal os of cervix), 장출혈성 대장균 감염증(Enterohemorrhagic Escherichia coli), 조산(Prematurity delivery), 혈관부종(Angioedema)"
장폐색,"대사성 알칼리증(Metabolic Alkalosis), 대장 용종(Polyp of colon), 메켈 게실(Meckel's diverticulum), 보툴리눔독소증(Botulism), 소장암(Small bowel cancer), 십이지장 궤양(Duodenal ulcer), 장염전(Volvulus), 장폐색(Intestinal obstruction)"
잔변감,"대장암(Colon cancer), 변비(Constipation), 아메바성 이질(Amebic dysentery), 항문 및 직장의 궤양(Ulcer of anus and rectum)"
흑색변,"대장암(Colon cancer), 바터 팽대부 암(AOV cancer), 선천성 담관 폐쇄증(Congenital Atresia of Bile Ducts), 식도염(Esophagitis), 십이지장 궤양(Duodenal ulcer), 위궤양(Gastric ulcer), 위암(Stomach cancer), 진행성 위암(Advanced gastric cancer), 혈관염(Vasculitis)"
양반다리로 앉기힘듬,대퇴골두 무혈관성 괴사(AVN of hip(femoral head))
머리모양 변형,"댄디워커 증후군(Dandy-Walker syndrome), 두개 안면 부조화(Craniofacial dysharmony), 두개 유합증(Craniosynostosis)"
펴진 귓바퀴,돌출귀(Prominent Ear)
심잡음,"동맥관 개존증(Patent ductus arteriosus), 심방 중격 결손(Atrial septal defect), 심실 중격 결손(Ventricular septal defect), 엡스테인 심기형(Ebstein anomaly), 총동맥간증(Persistent truncus arteriosus), 팔로 사 징후(Tetralogy of Fallot with/without PA)"
동정맥루 잡음 약화,동정맥루 기능부전(AVF malfuction)
광대뼈 위치 이상,"두개 유합증(Craniosynostosis), 안면 비대칭(Facial asymmetry)"
점상 출혈,"두개골 골절(Skull Fracture), 면역혈소판감소증(Immune thrombocytopenia), 범혈구감소증(Pancytopenia), 에볼라 출혈열(Ebola hemorrhagic fever), 재생불량빈혈(Aplastic anemia), 처그 스트라우스 증후군(Churg strauss syndrome), 파종혈관내응고(Diffuse or disseminated intravascular coagulation), 폰빌레브란트병(Von Willebrand disease), 프로피온산증(Propionic acidemia), 혈관염(Vasculitis), 혈소판 이상(Disorders of the platelets), 흑사병(Yersinia Pestis)"
두드러기,"두드러기(Urticaria), 식중독(Foodborne illness), 약물 알레르기(Drug allergy), 음식 알레르기(Food allergy), 태열(), 한랭 두드러기(Cold urticaria)"
체모감소,"두부 백선(Tinea Capitis), 모낭염(Folliculitis), 부갑상선기능저하증(Hypoparathyroidism), 부신 기능부전(Adrenal insufficiency), 성선기능저하증(Hypogonadism), 스티븐 존슨 증후군(Stevens Johnson syndrome), 자가면역 질환(autoimmune diseasse), 접촉 피부염(Contact dermatitis), 조로증(progeria)"
눈이 무거운 느낌,두통(Headache)
뇌압상승증상,"두통(Headache), 생식선 및 생식 세포의 신생물(Gonadal and germ cell neoplasma), 잠금 증후군(Locked-in Syndrome)"
코의 모공이 커짐,딸기코(Rosacea)
떨림(진전),"떨림, 진전(Tremor), 비정형 파킨슨 증후군(Atypical Parkinsonism), 윌슨병(Willson disease), 이차성 파킨슨증(Other parkinsonism), 테이-삭스병 (Tay-Sachs disease), 파킨슨병(Parkinson's disease)"
이상한 소리를 냄,"뚜렛 증후군(Tourette Syndrome), 틱 장애(Tic)"
비정상적인 움직임,"뚜렛 증후군(Tourette Syndrome), 틱 장애(Tic)"
결막염,"라싸열(Lassa fever ), 백일해(Pertussis), 스티븐 존슨 증후군(Stevens Johnson syndrome)"
기민상태,"라이 증후군(Reye syndrome), 신생아 괴사성 장염(Necrotizing enterocolitis of fetus and newborn), 신생아 다혈구증(Polycythemia)"
"4,5번째 손가락 굽음",러셀 실버 증후군 (Russell-Silver syndrome)
저체중,"러셀 실버 증후군 (Russell-Silver syndrome), 반응성 애착장애(Reactive Attachment Disorder), 선천성 거대결장증(Hirschsprung disease), 윌리암스 증후군 (Williams syndrome)"
발기부전,"레리시 증후군(Leriche Syndrome), 성선기능저하증(Hypogonadism), 수면 무호흡증(Sleep apnea), 카르시노이드 증후군(Carcinoid syndrome)"
사지의 창백한 현상,레이노병(Raynaud'S Phenomenon)
상동적 행동,"레트 증후군 (Rett syndrome), 스미스-마제니스 증후군 (Smith-Magenis syndrome, SMS), 자폐증 / 자폐 스펙트럼 장애(Autism spectrum disorder)"
수막자극증상,렙토스피라증(Leptospirosis)
수면 무호흡,"로하드 증후군(ROHHAD Syndrome), 비만(Obesity), 수면 무호흡증(Sleep apnea), 수면 장애(Sleep Disorder), 아데노이드의 비대를 동반한 편도의 비대(Hypertrophy of tonsils with hypertrophy of adenoids)"
사춘기 지연,"로하드 증후군(ROHHAD Syndrome), 성장호르몬 결핍증(Growth hormone deficiency), 차지 증후군(CHARGE Syndrome), 칼만 증후군(Kallmann syndrome)"
악성종양발생,"로하드 증후군(ROHHAD Syndrome), 린치 증후군(Lynch Syndrome), 모세혈관 확장성 운동실조 증후군 (Ataxia-telangiectasia syndrome), 본히펠린다우 증후군 (Von Hippel-Lindau syndrome), 후천성 면역결핍증(Acquired immunodeficiency syndrome)"
저체온,"로하드 증후군(ROHHAD Syndrome), 복강 내 출혈(Intraperitoneal Bleeding), 신생아 괴사성 장염(Necrotizing enterocolitis of fetus and newborn), 익수(Submersion), 점액수종 혼수(Myxoedema coma)"
경부 운동 제한,루드비히 안자이나 (Ludwig's angina)
코의 기형 동반,"루빈스타인 테이비 증후군 (Rubinstein-Taybi syndrome), 양안격리증(Hypertelorism)"
손마디가 뻣뻣해짐,"류마티스 관절염(Rheumatoid arthritis), 소아 류마티스 관절염(Juvenile rheumatoid arthritis)"
사지 부종,"림프부종(Lymphedema), 상대정맥 증후군(Superior vena cava Syndrome), 육종(Sarcoma), 혈관부종(Angioedema)"
피부균열,"림프부종(Lymphedema), 수부 습진(Hand Eczema), 욕창(Skin defect (and/or) soft tissue defect), 피부건조증(Xerosis cutis)"
이슬,만기 정상 분만(Normal full term spontaneous delivery)
붉은 색소 침착,만성 단순 태선(Lichen simplex chronicus)
후각 감소,만성 부비동염(Chronic rhinosinusitis)
후비루,만성 부비동염(Chronic rhinosinusitis)
화농성 비루,만성 부비동염(Chronic rhinosinusitis)
안면통,만성 부비동염(Chronic rhinosinusitis)
후각장애,"만성 비염(Chronic rhinitis), 부비동염(Sinusitis), 비부비동 종양(Sinonasal Tumor), 알레르기 비염(Allergic rhinitis), 칼만 증후군(Kallmann syndrome), 후각장애, 미각장애(Anosmia, Hyposmia)"
만성 신부전,"만성 신부전(Chronic renal failure), 알포트 증후군(Alports syndrome)"
면역기능 이상,"만성 신부전(Chronic renal failure), 이식편대숙주질환(Graft-versus-host reaction or disease(GVHD))"
토혈,"만성 위염(Chronic gastritis), 말로리-바이스 증후군(Mallory-weiss Syndrome), 바렛 식도(Barrett's esophagus), 식도 정맥류(Esophageal varices), 식도암(Esophageal cancer), 식도염(Esophagitis), 식도의 평활근종(Leiomyoma of esophagus), 십이지장 궤양(Duodenal ulcer), 위 정맥류(Gastric varices), 위궤양(Gastric ulcer), 위암(Stomach cancer), 위장관 기질 종양(Stomach GIST), 위장관 출혈(Gastrointestinal hemorrhage), 조기 위암(Early gastric cancer), 진행성 위암(Advanced gastric cancer)"
귀에서 냄새가 남,만성 중이염(Chronic otitis media)
치아 벌어짐,만성 치주염(Chronic periodontitis)
치아 통증,"만성 치주염(Chronic periodontitis), 매복 사랑니(Impacted teeth), 치아 우식증[충치](Dental Caries), 치주 농양(Periodontal abscess)"
구취,"만성 치주염(Chronic periodontitis), 설소대 단축증(Tongue tie), 치은염(Gingivitis), 치조골염(Alveolar ostitis), 칸디다성 구내염(Candidal stomatitis), 편도결석(tonsillolith)"
치아가 솟은 느낌,만성 치주염(Chronic periodontitis)
전신 통증,"만성 피로 증후군(Chronic Fatigue Syndrome), 섬유근육통(Fibromyalgia)"
말더듬,말더듬이(Stuttering)
터널시야,망막색소변성증(Retinitis Pigmentosa)
야맹,"망막색소변성증(Retinitis Pigmentosa), 설맹(Snow blindness), 야맹증(Night blindness)"
동공이 흰빛으로 반짝임,망막아세포종(Retinoblastoma)
안구증대,망막아세포종(Retinoblastoma)
고정된 믿음,망상 장애(Delusional disorder)
굳은 살,"망치족지(Hammer toe), 소건막류(Bunionette)"
발의 통증,"망치족지(Hammer toe), 무지외반증(Hallux valgus), 소건막류(Bunionette), 아킬레스 건 파열(Acute achilles tendon rupture), 아킬레스 건염(Achilles' tendonitis), 염좌(sprain), 요족(Cavus foot), 족저 근막염(Plantar Fasciitis), 지간 신경종(Interdigital neuroma), 통풍(Gout)"
귀 상부가 두피에 매몰됨,매몰귀(Cryptotia)
사망,"메리오이드증(Melioidosis), 저체온증(Hypothermia), 후두개염(Epiglottitis)"
림프절 농양,"면역결핍증(Immunodeficiency disease), 피부 농양(Cutaneous abscess)"
항문주위 염증,"면역결핍증(Immunodeficiency disease), 항문 누공(Anal fistula), 항문 열구(Anal fissure), 항문 주위 농양(Perianal abscess), 항문소양증(Pruritusani)"
닭살,모공성 각화증(Keratosis pilaris)
면포,"모낭염(Folliculitis), 여드름(Acne), 한선염(Hidradenitis suppurativa)"
털이 동반되기도 함,모반(Nevus)
음핵비대,"모호한 생식기(Ambiguous genitalia), 선천성 부신과다 형성증(Congenital adrenal hyperplasia)"
미소음경(micropenis),모호한 생식기(Ambiguous genitalia)
외부 생식기가 모호함,"모호한 생식기(Ambiguous genitalia), 안드로겐 불감성 증후군 (Androgen insensitivity syndrome(AIS))"
부분적 음순융합,모호한 생식기(Ambiguous genitalia)
생식기 궤양,"무른 궤양(Chancroid), 베체트 병(Behcet's disease), 샅(서혜)육아종(Granuloma inguinale), 음경암(Penis Cancer)"
관절잡음,"무릎관절증(Gonarthrosis), 반월판 연골손상(Tear of meniscus), 방아쇠 수지(Trigger finger), 슬개건염(Patellar tendinitis), 십자 인대 손상(Cruciate Ligament Injuries), 원판형 반월상연골(Discoid meniscus), 턱관절 장애(Temporomandibular joint disorders)"
음모가 적거나 없음,무모증(Atrichia pubis)
갱년기 증상,무월경(Amenorrhea)
발바닥 피부 두꺼워짐,"무좀(Tinea pedis), 무지외반증(Hallux valgus), 요족(Cavus foot)"
척추와 허리 디스크,무지외반증(Hallux valgus)
엄지 발가락의 돌출,무지외반증(Hallux valgus)
저작장애,"무치아증(Anodontia), 안면 골절(Facial bone fracture), 치열 궁 관계 이상(Anomalies of dental arch relationship), 턱뼈 성장 이상(Anomalies of the jaw)"
문맥성고혈압,"문맥색전증(Portal vein thrombosis), 버드 키아리 신드롬(Budd-Chiari syndrome)"
거짓 증상 호소,뮌하우젠 증후군(Munchausen's syndrome)
가슴 쓰림,"바렛 식도(Barrett's esophagus), 소화불량(Dyspepsia), 신체형 장애(Somatic symptom disorder), 십이지장 궤양(Duodenal ulcer), 십이지장염(Duodenitis), 오래된 심근경색증(Old myocardial infarction), 위궤양(Gastric ulcer), 위식도 역류성 질환(Gastro-esophagus reflux disease), 협심증(Angina pectoris)"
모발 탈색,"바르덴부르크 증후군(Waardenburg syndrome), 백반증(Vitiligo), 선천성 색소결핍증(Congenital Albinism), 조로증(progeria)"
직무 태만,반사회성 인격장애(Antisocial Personality Disorder)
나쁜 품행,반사회성 인격장애(Antisocial Personality Disorder)
야만적 행위,반사회성 인격장애(Antisocial Personality Disorder)
관절 불안정증,"반월판 연골손상(Tear of meniscus), 십자 인대 손상(Cruciate Ligament Injuries), 엘러스-단로스 증후군 (Ehlers-Danlos syndrome), 염좌(sprain)"
사회성 부족,"반응성 애착장애(Reactive Attachment Disorder), 발달 장애(developmental disability)"
산만함,"반응성 애착장애(Reactive Attachment Disorder), 비중격 만곡(Nasal septal deviation), 섬망(Delirium), 성인 주의력 결핍 과잉행동장애(Adult attention-deficit hyperactivity disorder), 인터넷 중독(Internet addiction), 주의력결핍 과잉행동장애(Attention-Deficit Hyperactivity Disorder)"
탈장 돌출,"반흔 탈장(Incisonal hernia), 재발성 탈장(Recurrent hernia), 제대 탈장(Umbilical hernia)"
탈장 부위의 통증,"반흔 탈장(Incisonal hernia), 재발성 탈장(Recurrent hernia), 제대 탈장(Umbilical hernia)"
긴장,"발모벽(Trichotillomania), 병적 방화(Pathological fire-setting), 편집성 인격장애(Paranoid personality disorder)"
폐부종,"발살바동 동맥류 파열(Ruptured sinus of valsava aneurysm), 폐부종(Pulmonary edema)"
축 늘어짐,"발육부전성 좌심 증후군(Hypoplastic left heart syndrome), 부비동염(Sinusitis), 수두증(Hydrocephalus), 신경모세포종(Neuroblastoma), 총동맥간증(Persistent truncus arteriosus)"
신생아-백색의 결절,발육성 치성 낭종(Developmental odontogenic cysts)
격동적 움직임,발작(Seizure)
정맥혈전,발작성야간혈색뇨(Paroxysmal nocturnal hemoglobinuria)
분뇨,방광소장 누공(Vesicointestinal fistula)
소변이 샘,"방광의 신경근육 기능 장애(Neuromuscular dysfunction of bladder), 방광탈(Cystocele), 복압성 요실금(Stress urinary incontinence), 요실금(Urinary incontinence), 전립선암(Prostate cancer)"
질에서 소변이 나옴,"방광질 누공(Vesicovaginal fistula), 융모막암종(Choriocarcinoma)"
심방 부정맥,"방실 중격 결손(Atrioventricular septal defect), 심방 중격 결손(Atrial septal defect), 온전한 심실 중격을 가진 폐동맥 폐쇄(Pulmonary atresia with intact venticulr septum)"
배꼽의 고름 및 피,배꼽염(Omphalitis)
반상출혈,"범혈구감소증(Pancytopenia), 비브리오 패혈증(Vibrio vulnificus Septicemia), 혈관염(Vasculitis), 혈소판 이상(Disorders of the platelets)"
관절염,"베게너 육아종증(Wegener granulomatosis), 봉와직염(Cellulitis), 비만(Obesity), 쇼그렌 증후군(Sicca syndrome (Sjogren)), 자가면역성 간염(Autoimmune hepatitis), 전신 경화증(Systemic Sclerosis), 전신 홍반성 낭창(Systemic lupus erythematosus), 크론병(Crohn's disease), 통풍성 관절염(gouty arthritis), 패혈성 관절염(Septic arthtritis), 한랭글로불린혈증(Cryoglobulinemia)"
항문 통증,"변비(Constipation), 위장관 기질 종양(Stomach GIST), 치핵(Hemorrhoids), 항문 누공(Anal fistula), 항문 열구(Anal fissure), 항문 주위 농양(Perianal abscess)"
항문출혈,"변비(Constipation), 직장 유암종(Rectal Carcinoid Tumor), 치핵(Hemorrhoids), 탈항(Anal prolapse), 항문 열구(Anal fissure), 항문암(Anal cancer)"
변실금,"변실금(Fecal incontinence), 외상성 치매 (Traumatic dementia), 항문암(Anal cancer), 회음 괴저(Fournier's gangrene)"
충동적 도벽,병적 도벽(Pathological stealing)
충동 조절 어려움,"병적 도벽(Pathological stealing), 성인 주의력 결핍 과잉행동장애(Adult attention-deficit hyperactivity disorder), 인터넷 중독(Internet addiction)"
근육마비,"보툴리눔독소증(Botulism), 척추 종양(Spine Bone Tumor)"
요정체,보툴리눔독소증(Botulism)
신경 마비,보툴리눔독소증(Botulism)
복부의 박동감,복부 대동맥류(Abdominal aortic Aneurysm)
